Monat,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
Jan,594 ,595 ,644 ,512 ,542 ,621 ,638 ,676 ,561 ,555 ,618 ,568 ,595 ,613 ,593 ,605 ,688 ,474 ,525 ,679 ,679 ,582 ,557 ,601 ,522 
Feb,374 ,591 ,531 ,571 ,501 ,416 ,604 ,437 ,457 ,572 ,458 ,458 ,402 ,610 ,520 ,590 ,560 ,425 ,468 ,550 ,536 ,483 ,683 ,596 ,446 
Mär,368 ,379 ,432 ,478 ,309 ,507 ,521 ,382 ,426 ,430 ,421 ,399 ,375 ,350 ,453 ,420 ,504 ,442 ,475 ,489 ,472 ,409 ,350 ,541 ,363 
Apr,370 ,365 ,331 ,230 ,358 ,293 ,280 ,354 ,288 ,283 ,253 ,363 ,293 ,238 ,258 ,302 ,307 ,99 ,341 ,155 ,250 ,120 ,311 ,304 ,184 
Mai,42 ,281 ,63 ,57 ,110 ,141 ,167 ,88 ,66 ,51 ,78 ,48 ,127 ,80 ,149 ,144 ,88 ,92 ,46 ,40 ,232 ,61 ,91 ,217 ,156 
Jun,54 ,90 ,18 ,8 ,69 ,113 ,30 ,36 ,46 ,36 ,9 ,55 ,0 ,0 ,17 ,28 ,60 ,28 ,43 ,18 ,46 ,19 ,25 ,45 ,0 
Jul,0 ,0 ,0 ,30 ,0 ,0 ,9 ,8 ,0 ,0 ,37 ,0 ,0 ,0 ,16 ,0 ,0 ,18 ,0 ,0 ,0 ,8 ,0 ,0 ,17 
Aug,0 ,0 ,0 ,45 ,0 ,41 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,37 ,9 ,0 ,0 ,18 ,0 ,9 ,0 ,0 
Sep,70 ,36 ,48 ,98 ,76 ,145 ,235 ,35 ,106 ,0 ,17 ,164 ,114 ,46 ,60 ,77 ,0 ,111 ,185 ,17 ,80 ,28 ,82 ,55 ,52 
Okt,212 ,299 ,361 ,354 ,312 ,86 ,315 ,306 ,287 ,302 ,283 ,47 ,251 ,414 ,187 ,202 ,118 ,292 ,223 ,269 ,300 ,286 ,228 ,193 ,116 
Nov,469 ,483 ,410 ,569 ,367 ,492 ,456 ,453 ,540 ,530 ,419 ,512 ,398 ,438 ,470 ,476 ,389 ,514 ,472 ,383 ,405 ,448 ,427 ,467 ,403 
Dez,616 ,635 ,601 ,491 ,509 ,625 ,641 ,544 ,583 ,558 ,500 ,624 ,500 ,583 ,600 ,632 ,541 ,600 ,603 ,586 ,645 ,507 ,558 ,567 ,525 
